steps,scenario,sr,cs,cd_mean,cd_std,speed,safety_score
30000,Town02,0.0,0.0,2.4036605058831477,0.5262758380878828,1.0285158420804383,0.0
450000,Town02,1.0,0.0,0.06119667821723287,0.07540242082297631,21.88753095891771,97.27
940000,Town02,1.0,0.0,0.057802917545072864,0.05983206592310333,23.728371819898758,97.65
470000,Town02,1.0,0.0,0.061878836742501685,0.07088812894795742,22.45302577462661,97.34
730000,Town02,1.0,0.0,0.06844577215015772,0.06139921569698931,23.88177126384524,97.4
830000,Town02,1.0,0.0,0.06585403744597144,0.06699480642527914,23.587298380178048,97.34
420000,Town02,1.0,0.0,0.061857119461142605,0.06747530793399503,23.590722937113554,97.41
990000,Town02,1.0,0.0,0.08140379605824902,0.06156122432178336,13.854269754316118,97.14
180000,Town02,0.9,1.4927315185655723,0.08891668450447332,0.10556794858282662,22.487570488934118,36.11
890000,Town02,1.0,0.0,0.058988277966272894,0.0624512362870485,24.65751519253232,97.57
970000,Town02,1.0,0.0,0.06990164233775105,0.08740398129700327,24.497470857341966,96.85
350000,Town02,0.9,2.731332368320051,0.06376610303521027,0.07573846613951737,22.780555356834363,37.21
510000,Town02,1.0,0.0,0.06117459289547998,0.0744281003881935,22.969237586593717,97.29
80000,Town02,0.9,0.03334960221366682,0.1865258150506668,0.2514586917856657,12.248722395477191,31.24
980000,Town02,1.0,0.0,0.06120224373086234,0.07778410396204409,19.52891878511071,97.22
680000,Town02,1.0,0.0,0.06700548949758081,0.06679232771183485,22.91921389523076,97.32
700000,Town02,1.0,0.0,0.07130225142743299,0.054926315584260366,23.583692767479697,97.48
70000,Town02,0.9,0.03995630685347565,0.4295496206590902,0.4784419973394048,16.592482086282068,21.84
520000,Town02,1.0,0.0,0.06554638640860044,0.07716375757036882,23.128213322726385,97.15
10000,Town02,0.0,0.0,4.978700941959434,1.0951382114720996,0.4651135431551251,0.0
20000,Town02,0.0,0.0,0.42324104425028974,0.15223415203743804,0.5800207740927908,0.0
720000,Town02,1.0,0.0,0.06036391111851165,0.058494136802890964,23.663129569387287,97.62
600000,Town02,1.0,0.0,0.07056295456444113,0.061960223120687365,22.54087552911129,97.35
920000,Town02,1.0,0.0,0.05492236641099486,0.0825299222356409,20.835791667724337,97.25
900000,Town02,0.1,4.437850619343493,0.055969701919694914,0.0522179108964869,24.63845893376285,0.0
590000,Town02,1.0,0.0,0.0594882566734569,0.061633178431452065,23.333856120814794,97.58
40000,Town02,0.0,1.9356472315291788,2.315493873817039,1.4965164974312573,9.050395048536426,0.0
